,Sam,Rack,Time,CPM Iso1,%Err1,LumEx,ElTime,BCA,t,protein,Tritium,volume,3H-PTX
21,22,62-10,3,4487.7001953125,1.72000002861023,0,74.5899963378906,1.174166666666667,5.0,0.595319822007579,7.807791886777548e-05,5.25e-06,14.871984546242949
22,23,62-11,3,4375.7001953125,1.75,0,77.9700012207031,1.174166666666667,5.0,0.595319822007579,7.613532365603866e-05,5.25e-06,14.501966410674031
23,24,62-12,3,4697.7099609375,1.67999994754791,0,81.370002746582,1.174166666666667,5.0,0.595319822007579,8.172004941249104e-05,5.25e-06,15.565723697617342
24,25,53-1,3,4516.0400390625,1.72000002861023,0,84.870002746582,1.174166666666667,4.0,0.595319822007579,7.856943799373468e-05,5.25e-06,14.965607236901844
25,26,53-2,3,4681.3798828125,1.69000005722046,0,88.25,1.174166666666667,4.0,0.595319822007579,8.14368607332811e-05,5.25e-06,15.511782996815448
26,27,53-3,3,5279.3798828125,1.5900000333786,0,91.6600036621094,1.174166666666667,4.0,0.595319822007579,9.180517358149089e-05,5.25e-06,17.48669972980779
27,28,53-4,3,4684.3798828125,1.69000005722046,0,95.0500030517578,1.174166666666667,3.0,0.595319822007579,8.148888557969386e-05,5.25e-06,15.52169249137026
28,29,53-5,3,4849.0498046875,1.6599999666214,0,98.4499969482422,1.174166666666667,3.0,0.595319822007579,8.43443703962402e-05,5.25e-06,16.06559436118861
29,30,53-6,3,5861.06005859375,1.50999999046326,0,101.839996337891,1.174166666666667,3.0,0.595319822007579,0.00010188700208554268,5.25e-06,19.407048016293846
30,31,53-7,3,5103.06005859375,1.62000000476837,0,105.23999786377,1.174166666666667,2.0,0.595319822007579,8.87484855404639e-05,5.25e-06,16.90447343627884
31,32,53-8,3,4609.72021484375,1.70000004768372,0,108.639999389648,1.174166666666667,2.0,0.595319822007579,8.019413525566355e-05,5.25e-06,15.275073382031152
32,33,53-9,3,5195.39990234375,1.60000002384186,0,112.040000915527,1.174166666666667,2.0,0.595319822007579,9.034933342641602e-05,5.25e-06,17.20939684312686
33,34,53-10,3,5158.39990234375,1.61000001430511,0,115.440002441406,1.174166666666667,1.0,0.595319822007579,8.970789440211471e-05,5.25e-06,17.087217981355185
34,35,53-11,3,5094.06005859375,1.62000000476837,0,118.839996337891,1.174166666666667,1.0,0.595319822007579,8.859245240960276e-05,5.25e-06,16.874752839924337
35,36,53-12,3,5302.72998046875,1.5900000333786,0,122.23999786377,1.174166666666667,1.0,0.595319822007579,9.220994775872129e-05,5.25e-06,17.56379957308977
36,37,59-1,3,5499.41015625,1.55999994277954,0,125.73999786377,1.174166666666667,0.5,0.595319822007579,9.561918224832305e-05,5.25e-06,18.213177571109153
37,38,59-2,3,5422.740234375,1.57000005245209,0,129.139999389648,1.174166666666667,0.5,0.595319822007579,9.429023950170007e-05,5.25e-06,17.960045619371442
38,39,59-3,3,5762.080078125,1.51999998092651,0,132.539993286133,1.174166666666667,0.5,0.595319822007579,0.00010017168533206622,5.25e-06,19.08032101563166
39,40,59-4,3,7579.77978515625,1.33000004291534,0,135.940002441406,1.174166666666667,0.0,0.595319822007579,0.00013165905944557377,5.25e-06,25.077916084871195
40,41,59-5,3,7073.10009765625,1.37000000476837,0,139.339996337891,1.174166666666667,0.0,0.595319822007579,0.0001228846714358494,5.25e-06,23.406604083018937
41,42,59-6,3,7118.77001953125,1.37000000476837,0,142.740005493164,1.174166666666667,0.0,0.595319822007579,0.000123675635328672,5.25e-06,23.557263872128004
